Time,Tier,Annotation
6682,Gaze@CHI,glass
6682,Facial@MOT,invisible
6682,Gaze@MOT,invisible
6682,Action@CHI,holding the glass and a yellow ball
6683,Gaze@CHI,glass
6683,Facial@MOT,invisible
6683,Gaze@MOT,invisible
6683,Action@CHI,holding the glass and a yellow ball
6684,Gaze@CHI,glass
6684,Facial@MOT,invisible
6684,Gaze@MOT,invisible
6684,Action@CHI,holding the glass and a yellow ball
6685,Gaze@CHI,glass
6685,Facial@MOT,invisible
6685,Gaze@MOT,invisible
6685,Action@CHI,holding the glass and a yellow ball
6686,Gaze@CHI,glass
6686,Facial@MOT,invisible
6686,Gaze@MOT,invisible
6686,Action@CHI,holding the glass and a yellow ball
6687,Gaze@CHI,glass
6687,Facial@MOT,invisible
6687,Gaze@MOT,invisible
6687,Action@CHI,holding the glass and a yellow ball
6688,Gaze@CHI,glass
6688,Facial@MOT,invisible
6688,Gaze@MOT,invisible
6688,Action@CHI,holding the glass and a yellow ball
6689,Gaze@CHI,glass
6689,Facial@MOT,invisible
6689,Gaze@MOT,invisible
6689,Action@CHI,holding the glass and a yellow ball
6690,Gaze@CHI,glass
6690,Facial@MOT,invisible
6690,Gaze@MOT,invisible
6690,Action@CHI,holding the glass and a yellow ball
6691,Gaze@CHI,glass
6691,Facial@MOT,invisible
6691,Gaze@MOT,invisible
6691,Action@CHI,holding the glass and a yellow ball
6692,Gaze@CHI,glass
6692,Facial@MOT,invisible
6692,Gaze@MOT,invisible
6692,Action@CHI,holding the glass and a yellow ball
6693,Gaze@CHI,glass
6693,Facial@MOT,invisible
6693,Gaze@MOT,invisible
6693,Action@CHI,holding the glass and a yellow ball
6694,Gaze@CHI,glass
6694,Facial@MOT,invisible
6694,Gaze@MOT,invisible
6694,Action@CHI,holding the glass and a yellow ball
6695,Gaze@CHI,glass
6695,Facial@MOT,invisible
6695,Gaze@MOT,invisible
6695,Action@CHI,holding the glass and a yellow ball
6696,Gaze@CHI,glass
6696,Facial@MOT,invisible
6696,Gaze@MOT,invisible
6696,Action@CHI,holding the glass and a yellow ball
6697,Gaze@CHI,glass
6697,Facial@MOT,invisible
6697,Gaze@MOT,invisible
6697,Action@CHI,holding the glass and a yellow ball
6698,Gaze@CHI,glass
6698,Facial@MOT,invisible
6698,Gaze@MOT,invisible
6698,Action@CHI,holding the glass and a yellow ball
6699,Gaze@CHI,glass
6699,Facial@MOT,invisible
6699,Gaze@MOT,invisible
6699,Action@CHI,holding the glass and a yellow ball
6700,Gaze@CHI,glass
6700,Facial@MOT,invisible
6700,Gaze@MOT,invisible
6700,Action@CHI,holding the glass and a yellow ball
6701,Gaze@CHI,glass
6701,Facial@MOT,invisible
6701,Gaze@MOT,invisible
6701,Action@CHI,holding the glass and a yellow ball
6702,Gaze@CHI,glass
6702,Facial@MOT,invisible
6702,Gaze@MOT,invisible
6702,Action@CHI,holding the glass and a yellow ball
6703,Gaze@CHI,glass
6703,Facial@MOT,invisible
6703,Gaze@MOT,invisible
6703,Action@CHI,holding the glass and a yellow ball
6704,Gaze@CHI,glass
6704,Facial@MOT,invisible
6704,Gaze@MOT,invisible
6704,Action@CHI,holding the glass and a yellow ball
6705,Gaze@CHI,glass
6705,Facial@MOT,invisible
6705,Gaze@MOT,invisible
6705,Action@CHI,holding the glass and a yellow ball
6706,Gaze@CHI,glass
6706,Facial@MOT,invisible
6706,Gaze@MOT,invisible
6706,Action@CHI,holding the glass and a yellow ball
6707,Gaze@CHI,glass
6707,Facial@MOT,invisible
6707,Gaze@MOT,invisible
6707,Action@CHI,holding the glass and a yellow ball
6708,Gaze@CHI,glass
6708,Facial@MOT,invisible
6708,Gaze@MOT,invisible
6708,Action@CHI,holding the glass and a yellow ball
6709,Gaze@CHI,glass
6709,Facial@MOT,invisible
6709,Gaze@MOT,invisible
6709,Action@CHI,holding the glass and a yellow ball
6710,Gaze@CHI,glass
6710,Facial@MOT,invisible
6710,Gaze@MOT,invisible
6710,Action@CHI,holding the glass and a yellow ball
6711,Gaze@CHI,mom's hand
6711,Facial@MOT,invisible
6711,Utterance@MOT,Can I please have a ball?
6711,Prosody@MOT,rising
6711,Gaze@MOT,invisible
6711,Action@CHI,holding the glass and a yellow ball
6711,Action@MOT,extending a hand
6712,Gaze@CHI,mom's hand
6712,Facial@MOT,invisible
6712,Utterance@MOT,Can I please have a ball?
6712,Prosody@MOT,rising
6712,Gaze@MOT,invisible
6712,Action@CHI,holding the glass and a yellow ball
6712,Action@MOT,extending a hand
6713,Gaze@CHI,mom's hand
6713,Facial@MOT,invisible
6713,Utterance@MOT,Can I please have a ball?
6713,Prosody@MOT,rising
6713,Gaze@MOT,invisible
6713,Action@CHI,holding the glass and a yellow ball
6713,Action@MOT,extending a hand
6714,Gaze@CHI,mom's hand
6714,Facial@MOT,invisible
6714,Utterance@MOT,Can I please have a ball?
6714,Prosody@MOT,rising
6714,Gaze@MOT,invisible
6714,Action@CHI,holding the glass and a yellow ball
6714,Action@MOT,extending a hand
6715,Gaze@CHI,mom's hand
6715,Facial@MOT,invisible
6715,Utterance@MOT,Can I please have a ball?
6715,Prosody@MOT,rising
6715,Gaze@MOT,invisible
6715,Action@CHI,holding the glass and a yellow ball
6715,Action@MOT,extending a hand
6716,Gaze@CHI,mom's hand
6716,Facial@MOT,invisible
6716,Utterance@MOT,Can I please have a ball?
6716,Prosody@MOT,rising
6716,Gaze@MOT,invisible
6716,Action@CHI,holding the glass and a yellow ball
6716,Action@MOT,extending a hand
6717,Gaze@CHI,mom's hand
6717,Facial@MOT,invisible
6717,Utterance@MOT,Can I please have a ball?
6717,Prosody@MOT,rising
6717,Gaze@MOT,invisible
6717,Action@CHI,holding the glass and a yellow ball
6717,Action@MOT,extending a hand
6718,Gaze@CHI,mom's hand
6718,Facial@MOT,invisible
6718,Utterance@MOT,Can I please have a ball?
6718,Prosody@MOT,rising
6718,Gaze@MOT,invisible
6718,Action@CHI,holding the glass and a yellow ball
6718,Action@MOT,extending a hand
6719,Gaze@CHI,mom's hand
6719,Facial@MOT,invisible
6719,Utterance@MOT,Can I please have a ball?
6719,Prosody@MOT,rising
6719,Gaze@MOT,invisible
6719,Action@CHI,holding the glass and a yellow ball
6719,Action@MOT,extending a hand
6720,Gaze@CHI,mom's hand
6720,Facial@MOT,invisible
6720,Gaze@MOT,invisible
6720,Action@CHI,holding the glass and a yellow ball
6720,Action@MOT,extending a hand
6721,Gaze@CHI,mom's hand
6721,Facial@MOT,invisible
6721,Gaze@MOT,invisible
6721,Action@CHI,holding the glass and a yellow ball
6721,Action@MOT,extending a hand
6722,Gaze@CHI,mom's hand
6722,Facial@MOT,invisible
6722,Gaze@MOT,invisible
6722,Action@CHI,holding the glass and a yellow ball
6722,Action@MOT,extending a hand
6723,Gaze@CHI,mom's hand
6723,Facial@MOT,invisible
6723,Gaze@MOT,invisible
6723,Action@CHI,holding the glass and a yellow ball
6723,Action@MOT,extending a hand
6724,Gaze@CHI,mom's hand
6724,Facial@MOT,invisible
6724,Gaze@MOT,invisible
6724,Action@CHI,holding the glass and a yellow ball
6724,Action@MOT,extending a hand
6725,Gaze@CHI,mom's hand
6725,Facial@MOT,invisible
6725,Gaze@MOT,invisible
6725,Action@CHI,holding the glass and a yellow ball
6725,Action@MOT,extending a hand
6726,Gaze@CHI,mom's hand
6726,Facial@MOT,invisible
6726,Gaze@MOT,invisible
6726,Action@CHI,holding the glass and a yellow ball
6726,Action@MOT,extending a hand
6727,Gaze@CHI,mom's hand
6727,Facial@MOT,invisible
6727,Gaze@MOT,invisible
6727,Action@CHI,holding the glass and a yellow ball
6727,Action@MOT,extending a hand
6728,Gaze@CHI,mom's hand
6728,Facial@MOT,invisible
6728,Gaze@MOT,invisible
6728,Action@CHI,holding the glass and a yellow ball
6728,Action@MOT,extending a hand
6729,Gaze@CHI,mom's hand
6729,Facial@MOT,invisible
6729,Gaze@MOT,invisible
6729,Action@CHI,holding the glass and a yellow ball
6729,Action@MOT,extending a hand
6730,Gaze@CHI,mom's hand
6730,Facial@MOT,invisible
6730,Gaze@MOT,invisible
6730,Action@CHI,holding the glass and a yellow ball
6730,Action@MOT,extending a hand
6731,Gaze@CHI,mom's hand
6731,Facial@MOT,invisible
6731,Gaze@MOT,invisible
6731,Action@CHI,holding the glass and a yellow ball
6731,Action@MOT,picking up the ball
6732,Gaze@CHI,mom's hand
6732,Facial@MOT,invisible
6732,Gaze@MOT,invisible
6732,Action@CHI,dropping the glass
6732,Action@MOT,picking up the ball
6733,Gaze@CHI,mom's hand
6733,Facial@MOT,invisible
6733,Gaze@MOT,invisible
6733,Action@CHI,dropping the glass
6733,Action@MOT,picking up the ball
6734,Gaze@CHI,mom's hand
6734,Facial@MOT,invisible
6734,Gaze@MOT,invisible
6734,Action@CHI,dropping the glass
6734,Action@MOT,picking up the ball
6735,Gaze@CHI,mom's hand
6735,Facial@MOT,invisible
6735,Gaze@MOT,invisible
